Invoice No,Date,Vendor,Design No,Ordered Qty,Generated Barcodes Qty,Missing Qty (If Negative then Extra)
"2025-2026/789","2026-03-11","JAMIL BANDHEJ SAREE","1",37,19,18
"2025-26/M/0979","2026-03-17","MILAN ","D-12376",14,4,10
"S786","2026-03-07","NIRJA HANDICRAFT ","11",11,1,10
"USP/2601/25-26","2026-03-06","URVASHI SAREES PVT LTD","UV3A",11,1,10
"1762/25-26","2026-03-11","JAMNADAS BECHARDAS & SONS","1",8,0,8
"1762/25-26","2026-03-11","JAMNADAS BECHARDAS & SONS","2",8,0,8
"ED/002853/25-26","2026-03-08","AASHIRVAD HERITAGE PVT LTD","DCP1",14,6,8
"HETPL/2120","2026-03-05","HANDLOOM EMPORIUM TEXT.PRT.LTD","D 1",12,4,8
"USP/2598/25-26","2026-03-06","URVASHI SAREES PVT LTD","UV2 481",10,2,8
"10","2026-03-11","SUNRAYS CHIKANKARI LLP","17",8,1,7
"GST-02054-25-26","2026-03-13","M/S ADISHAKTI CREATIONS ","1/12",12,5,7
"LV/009843/25-26","2026-03-07","LA VESTA ","S 151-1213",14,7,7
"RD/009158/25-26","2026-03-10","RUPDARSHI HERITAGE PVT LTD","036-1",11,4,7
"S786","2026-03-07","NIRJA HANDICRAFT ","15",7,0,7
"006345/25-26","2026-03-10","JDS DESIGN STUDIO PRIVATE LIMITED","EC13-2/3",9,3,6
"HETPL/2116","2026-03-05","HANDLOOM EMPORIUM TEXT.PRT.LTD","COT FEB 2",13,7,6
"HETPL/2116","2026-03-05","HANDLOOM EMPORIUM TEXT.PRT.LTD","COT FEB",12,6,6
"489","2026-03-11","SRI GANESH CREATIONS ","14",9,4,5
"489","2026-03-11","SRI GANESH CREATIONS ","13",9,4,5
"USP/2598/25-26","2026-03-06","URVASHI SAREES PVT LTD","UV2A",10,5,5
"10","2026-03-11","SUNRAYS CHIKANKARI LLP","19",5,1,4
"10","2026-03-11","SUNRAYS CHIKANKARI LLP","16",9,5,4
"10/2026-27","2026-04-16","CHIC BY GAURI","1-BROWN-01",6,2,4
"234563","2026-03-05","V NARBHERAM & CO","662",8,4,4
"234564","2026-03-05","V NARBHERAM & CO","1852",8,4,4
"234564","2026-03-05","V NARBHERAM & CO","656",4,0,4
"234571","2026-03-05","V NARBHERAM & CO","598",6,2,4
"234575","2026-03-05","V NARBHERAM & CO","754",11,7,4
"234575","2026-03-05","V NARBHERAM & CO","620",11,7,4
"HETPL/2120","2026-03-05","HANDLOOM EMPORIUM TEXT.PRT.LTD","D 13",9,5,4
"HETPL/2233","2026-03-12","HANDLOOM EMPORIUM TEXT.PRT.LTD","1/7",7,3,4
"ID/10767/2025-26","2026-03-11","ISHUM DESIGNS","IRT/KC/324",6,2,4
"S786","2026-03-07","NIRJA HANDICRAFT ","12",5,1,4
"10","2026-03-11","SUNRAYS CHIKANKARI LLP","2",4,1,3
"11942","2026-03-07","SADBHAVANA ENTERPRISES","922",5,2,3
"2014","2026-03-13","KUTCH BANDHEJ-NX","1/5",5,2,3
"239","2026-04-23","AARI","6905",3,0,3
"489","2026-03-11","SRI GANESH CREATIONS ","1",6,3,3
"489","2026-03-11","SRI GANESH CREATIONS ","15",6,3,3
