Barcode,Design No,MRP,Total Quantity,Available Quantity,Purchase Order ID,Action Recommendation
00000075,A136127,55994.99,0,0,,Remove (Orphaned - No PO)
00000373,S-3481 (XL),15195,0,0,,Remove (Orphaned - No PO)
00000378,S - 3841 XL,14295,0,0,,Remove (Orphaned - No PO)
00000468,KS-526 W,10595,0,0,,Remove (Orphaned - No PO)
00000473,SKW-2108 BR,10595,1,1,,Remove (Orphaned - No PO)
00000915,4188,0,0,0,,Remove (Orphaned - No PO)
00000916,3797,0,0,0,,Remove (Orphaned - No PO)
00000917,4281,0,0,0,,Remove (Orphaned - No PO)
00000918,4091,0,0,0,,Remove (Orphaned - No PO)
00000919,4052,0,0,0,,Remove (Orphaned - No PO)
00000920,2513 GR,0,0,0,,Remove (Orphaned - No PO)
00000927,2541 PE,0,0,0,,Remove (Orphaned - No PO)
00000928,2598 L,0,0,0,,Remove (Orphaned - No PO)
00000929,5225,0,0,0,,Remove (Orphaned - No PO)
00000930,2563,0,0,0,,Remove (Orphaned - No PO)
00000931,642,0,0,0,,Remove (Orphaned - No PO)
00000937,ME-01,0,0,0,,Remove (Orphaned - No PO)
00000938,M-781 BR,0,0,0,,Remove (Orphaned - No PO)
00000939,M-772 ,0,0,0,,Remove (Orphaned - No PO)
00000940,M-568 B,0,0,0,,Remove (Orphaned - No PO)
00000941,11041,0,0,0,,Remove (Orphaned - No PO)
00000942,M-842,0,0,0,,Remove (Orphaned - No PO)
00000943,M-748 ,0,0,0,,Remove (Orphaned - No PO)
00000024,2525 BG,31995.02,1,1,1450a36e-9b6a-4a82-a814-c1b64a6cca8c,Keep
00000025,2525 PINK,32995.00,1,0,1450a36e-9b6a-4a82-a814-c1b64a6cca8c,Keep
00000026,2516 BG,39995.00,1,1,1450a36e-9b6a-4a82-a814-c1b64a6cca8c,Keep
00000027,2510 PINK,24995.00,1,1,1450a36e-9b6a-4a82-a814-c1b64a6cca8c,Keep
00000028,2521 PINK,26995.00,1,0,1450a36e-9b6a-4a82-a814-c1b64a6cca8c,Keep
00000029,2520 PINK,26994.99,1,0,1450a36e-9b6a-4a82-a814-c1b64a6cca8c,Keep
00000030,2588 RN,25995.00,1,1,1450a36e-9b6a-4a82-a814-c1b64a6cca8c,Keep
00000031,2504 CM,26995.00,1,0,1450a36e-9b6a-4a82-a814-c1b64a6cca8c,Keep
00000032,2515 ON,26994.99,1,1,1450a36e-9b6a-4a82-a814-c1b64a6cca8c,Keep
00000033,2543 CM,32995.00,1,0,1450a36e-9b6a-4a82-a814-c1b64a6cca8c,Keep
00000034,9811 RANI,30995.00,1,0,6d9b3769-aaa6-43bd-a91a-987bb6646110,Keep
00000035,10212 PINK,20995.00,1,0,6d9b3769-aaa6-43bd-a91a-987bb6646110,Keep
00000036,10602 PINK,30995.00,1,0,6d9b3769-aaa6-43bd-a91a-987bb6646110,Keep
00000037,10604 YE,30995.00,1,1,6d9b3769-aaa6-43bd-a91a-987bb6646110,Keep
00000038,10601 BLUE,28995.00,1,0,6d9b3769-aaa6-43bd-a91a-987bb6646110,Keep
00000039,PN-7842 ( PK ),138995.00,1,1,24dc42ed-281d-4536-a0bc-3a20dbf67f04,Keep
00000040,PN-7844 ( PH ),110995.00,1,1,24dc42ed-281d-4536-a0bc-3a20dbf67f04,Keep
00000041,PN-7860 ( BG ),102995.00,1,1,24dc42ed-281d-4536-a0bc-3a20dbf67f04,Keep
00000042,PN-7764 ( PU ),50995.00,1,1,24dc42ed-281d-4536-a0bc-3a20dbf67f04,Keep
00000043,PN-7706A,58995.00,1,1,24dc42ed-281d-4536-a0bc-3a20dbf67f04,Keep
00000044,PN-7725A,46995.00,1,0,24dc42ed-281d-4536-a0bc-3a20dbf67f04,Keep
00000045,659,100999.00,1,1,f9034d75-b93b-4eba-9f02-cdafc0b7558d,Keep
00000046,11004,36995.00,1,0,0c5c2cec-c72a-4803-867f-7b3794cf30e9,Keep
00000047,11016,36999.00,1,1,f82028cd-df60-4f3e-aef7-56e2eccffd97,Keep
00000048,10067,32999.00,1,0,f156f8a5-ff9f-47b2-96fc-2afc40853bce,Keep
00000049,10049,32999.01,1,0,6e3004c5-b069-4731-8103-96ed4102f103,Keep
00000050,1993,29995,1,1,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000051,2015,26995,1,0,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000052,2015 B,26995,1,1,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000053,1946,27995,1,0,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000054,1946 XL,27994.99,1,0,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000055,2925,18995,1,0,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000056,2925 XL,17995,1,1,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000057,2021,22995,2,2,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000058,2021 XL,22995,1,1,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000059,2056,22995,1,1,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000060,2056 XL,22995,1,0,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000061,2028,22995,2,1,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000062,2043,24995,2,2,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000063,1861 PINK,14995,2,2,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000064,1861 R,14995,1,1,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000065,2836 R1,10995,2,1,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000066,2836 GN,10995,1,0,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000067,1849 XL,13995,1,1,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000068,1849,13995,1,1,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000069,2002,12995,2,2,5aa99477-c42e-4340-867e-30e45984ada5,Keep
00000070,10093,32999.00,1,0,b2f2308d-ccbe-465f-ad64-37129394d758,Keep
00000071,10069,28999.00,1,1,b2f2308d-ccbe-465f-ad64-37129394d758,Keep
00000072,10040,38999.00,1,1,b2f2308d-ccbe-465f-ad64-37129394d758,Keep
00000073,10087,38999.00,1,0,b2f2308d-ccbe-465f-ad64-37129394d758,Keep
00000074,10014,32999.00,1,1,b2f2308d-ccbe-465f-ad64-37129394d758,Keep
00000076,10066,24999.00,1,1,f156f8a5-ff9f-47b2-96fc-2afc40853bce,Keep
