"Design Number","Vendor Name","Barcodes List","Exists in Master","Purchase Quantity","Purchase Invoices Count","Purchase Return Quantity","Sales Quantity","Sales Invoices Count","Sales Return Quantity","Available Stock","Total Printed Stock","Total Barcodes Count","Safety Category","Action Recommended"
"0008","BHAGWAN HANDLOOM HOUSE","00001489, 00001490",TRUE,2,1,0,0,0,0,2,2,2,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001","JAMNADAS BECHARDAS & SONS","00008570",TRUE,4,1,0,1,1,0,3,4,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001-6207","STRAAVI ENSEMBLES PRIVATE LIMITED","00002191",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001-7219","STRAAVI ENSEMBLES PRIVATE LIMITED","00002248",TRUE,1,1,0,1,1,0,0,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001-7453","STRAAVI ENSEMBLES PRIVATE LIMITED","00002249",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001-GOLDEN","VARIMA FASHIONS PVT LTD","00009319",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001-GREEN","VARIMA FASHIONS PVT LTD","00009320",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"002","JAMNADAS BECHARDAS & SONS","00008571",TRUE,4,1,0,1,1,0,3,4,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"002-4775","STRAAVI ENSEMBLES PRIVATE LIMITED","00002146",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"003-6007","STRAAVI ENSEMBLES PRIVATE LIMITED","00000906",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"003-6425","STRAAVI ENSEMBLES PRIVATE LIMITED","00002247",TRUE,1,1,0,1,1,0,0,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"003-7335","STRAAVI ENSEMBLES PRIVATE LIMITED","00000902",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"003-7376","STRAAVI ENSEMBLES PRIVATE LIMITED","00002277",TRUE,2,1,0,0,0,0,2,2,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"003-7415","STRAAVI ENSEMBLES PRIVATE LIMITED","00002278",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"003-7460","STRAAVI ENSEMBLES PRIVATE LIMITED","00000903",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"003119","MEHRA SAREE KENDRA ","00006350",TRUE,4,1,0,4,4,0,0,4,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"004-1029","STRAAVI ENSEMBLES PRIVATE LIMITED","00002244",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"004-1120","STRAAVI ENSEMBLES PRIVATE LIMITED","00002258",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"004-5032","STRAAVI ENSEMBLES PRIVATE LIMITED","00002259",TRUE,2,1,0,0,0,0,2,2,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"004-5112","STRAAVI ENSEMBLES PRIVATE LIMITED","00002245",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"004-6351 A","STRAAVI ENSEMBLES PRIVATE LIMITED","00002269",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"004-6370","STRAAVI ENSEMBLES PRIVATE LIMITED","00002192",TRUE,1,1,0,1,1,0,0,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"004-6530","STRAAVI ENSEMBLES PRIVATE LIMITED","00002255",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
