Design Number,Vendor Name,Barcodes List,Purchase Invoices List,Sales Invoices List,Exists in Master,Purchase Quantity,Purchase Invoices Count,Purchase Return Quantity,Sales Quantity,Sales Invoices Count,Sales Return Quantity,Available Stock,Total Printed Stock,Total Barcodes Count,Safety Category,Action Recommended,Stock cal
8,BHAGWAN HANDLOOM HOUSE,"00001489, 00001490",INV/25-26/5472,,TRUE,2,1,0,0,0,0,2,2,2,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
1,JAMNADAS BECHARDAS & SONS,8570,1016/26-27,INV2627000945,TRUE,4,1,0,1,1,0,3,4,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
001-6207,STRAAVI ENSEMBLES PRIVATE LIMITED,2191,SE/005389/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
001-7219,STRAAVI ENSEMBLES PRIVATE LIMITED,2248,SE/005372/25-26,INV2627000628,TRUE,1,1,0,1,1,0,0,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
001-7453,STRAAVI ENSEMBLES PRIVATE LIMITED,2249,SE/005372/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
001-GOLDEN,VARIMA FASHIONS PVT LTD,9319,VFPL0075,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
001-GREEN,VARIMA FASHIONS PVT LTD,9320,VFPL0075,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
2,JAMNADAS BECHARDAS & SONS,8571,1016/26-27,INV2627000655,TRUE,4,1,0,1,1,0,3,4,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
002-4775,STRAAVI ENSEMBLES PRIVATE LIMITED,2146,SE/005431/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
003-6007,STRAAVI ENSEMBLES PRIVATE LIMITED,906,SE/005371/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
003-6425,STRAAVI ENSEMBLES PRIVATE LIMITED,2247,SE/005372/25-26,INV2627000478,TRUE,1,1,0,1,1,0,0,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
003-7335,STRAAVI ENSEMBLES PRIVATE LIMITED,902,SE/005371/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
003-7376,STRAAVI ENSEMBLES PRIVATE LIMITED,2277,SE/005368/25-26,,TRUE,2,1,0,0,0,0,2,2,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
003-7415,STRAAVI ENSEMBLES PRIVATE LIMITED,2278,SE/005368/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
003-7460,STRAAVI ENSEMBLES PRIVATE LIMITED,903,SE/005371/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
3119,MEHRA SAREE KENDRA ,6350,MSK/2320/2025-26,"INV2026000076, INV2026000118, INV2627000343, INV2627000385",TRUE,4,1,0,4,4,0,0,4,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-1029,STRAAVI ENSEMBLES PRIVATE LIMITED,2244,SE/005372/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-1120,STRAAVI ENSEMBLES PRIVATE LIMITED,2258,SE/005369/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-5032,STRAAVI ENSEMBLES PRIVATE LIMITED,2259,SE/005369/25-26,,TRUE,2,1,0,0,0,0,2,2,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-5112,STRAAVI ENSEMBLES PRIVATE LIMITED,2245,SE/005372/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6351 A,STRAAVI ENSEMBLES PRIVATE LIMITED,2269,SE/005368/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6370,STRAAVI ENSEMBLES PRIVATE LIMITED,2192,SE/005389/25-26,INV2026000227,TRUE,1,1,0,1,1,0,0,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6530,STRAAVI ENSEMBLES PRIVATE LIMITED,2255,SE/005369/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6550,STRAAVI ENSEMBLES PRIVATE LIMITED,2250,SE/005369/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6566,STRAAVI ENSEMBLES PRIVATE LIMITED,2256,SE/005369/25-26,,TRUE,2,1,0,0,0,0,2,2,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6577,STRAAVI ENSEMBLES PRIVATE LIMITED,2270,SE/005368/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6579,STRAAVI ENSEMBLES PRIVATE LIMITED,2257,SE/005369/25-26,INV2627000767,TRUE,1,1,0,1,1,0,0,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6580,STRAAVI ENSEMBLES PRIVATE LIMITED,2274,SE/005368/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6676,STRAAVI ENSEMBLES PRIVATE LIMITED,2275,SE/005368/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6938,STRAAVI ENSEMBLES PRIVATE LIMITED,2273,SE/005368/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6939,STRAAVI ENSEMBLES PRIVATE LIMITED,2251,SE/005369/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-6945,STRAAVI ENSEMBLES PRIVATE LIMITED,2271,SE/005368/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-7078,STRAAVI ENSEMBLES PRIVATE LIMITED,2176,SE/005390/25-26,INV2627000342,TRUE,1,1,0,1,1,0,0,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-7101,STRAAVI ENSEMBLES PRIVATE LIMITED,2177,SE/005390/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
004-7454,STRAAVI ENSEMBLES PRIVATE LIMITED,2246,SE/005372/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
005-6914,STRAAVI ENSEMBLES PRIVATE LIMITED,907,,,TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,Audit: Has physical stock/printed barcodes but no purchase record,-1
005-6922,STRAAVI ENSEMBLES PRIVATE LIMITED,2276,SE/005368/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
005-6941,STRAAVI ENSEMBLES PRIVATE LIMITED,,SE/005371/25-26,,TRUE,1,1,0,0,0,0,0,0,0,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,1
005-7182,STRAAVI ENSEMBLES PRIVATE LIMITED,6421,SE/005464/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
005-7183,STRAAVI ENSEMBLES PRIVATE LIMITED,6420,SE/005464/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
005E,RUPDARSHI HERITAGE PVT LTD,4336,RD/009160/25-26,INV2627000883,TRUE,2,1,0,1,1,0,1,2,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
008-4269,STRAAVI ENSEMBLES PRIVATE LIMITED,2195,SE/005389/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
008-7266,STRAAVI ENSEMBLES PRIVATE LIMITED,2147,SE/005431/25-26,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
93,GFIVE DESIGNERS COUTURE PVT.LTD.,"00005223, 00005224",GFIVE/2084/25-26,,TRUE,2,1,0,0,0,0,2,2,2,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
1,PRATAPSONS HERITAGE HOME PRODUCTION,"00001168, 00001169, 00001170, 00006894, 00006923, 00007159, 00007395, 00007466, 00007489, 00007643, 00007652, 00007703, 00007704, 00007864, 00007865, 00008183, 00008799, 00008801, 00008975, 00009016, 00009024, 00009286, 00009402, 00009468","002, 011, 01112, 0112, 0222, 04/04/2026, 06, 09, 1111, 112, 1122, 117, 12, 1234, 13, 14, 147, 2025-26/1175, 310, 460, RZF/26-27/47, VSBV/8945/25-26","INV2627000094, INV2627000226, INV2627000326, INV2627000355, INV2627000388, INV2627000396, INV2627000408, INV2627000411, INV2627000569, INV2627000800",TRUE,31,23,0,12,10,3,19,31,24,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,3
01-,ROOP ZARI FASHION,8173,RZF/26-27/24,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
01-BLACK,PRATAPSONS HERITAGE HOME PRODUCTION,8348,5,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
01-BLUE,HANDLOOM EMPORIUM TEXT.PRT.LTD,7445,HETPL/2391,,TRUE,2,1,0,0,0,0,2,2,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
01-BROWN,PARA APPARELS,7944,308/26-27,INV2627000548,TRUE,1,1,0,1,1,0,0,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
01-GOLDEN,FAIR LADY DESIGNS,7662,FLD/0006/26-27,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
01-MULTI,M.S. BANDHANI,7490,447,"INV2627000387, INV2627000475",TRUE,21,1,19,2,2,0,0,21,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
01-PINK,PRATAPSONS HERITAGE HOME PRODUCTION,"00007666, 00009141","23, FLD/0028/26-27",,TRUE,2,2,0,0,0,0,2,2,2,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
01-RED,FAIR LADY DESIGNS,7946,FLD/0040/26-27,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
102,KAIRA COUTURE,2896,GST/2025-26/999,,TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
11,PRATAPSONS HERITAGE HOME PRODUCTION,"00008768, 00008807","008, 0111",INV2627000669,TRUE,2,2,0,1,1,0,1,2,2,ACTIVE_WITH_PURCHASE_HISTORY,Keep: Has active purchase/return activity,0
