"Design Number","Vendor Name","Barcodes List","Purchase Invoices List","Sales Invoices List","Exists in Master","Purchase Quantity","Purchase Invoices Count","Purchase Return Quantity","Sales Quantity","Sales Invoices Count","Sales Return Quantity","Available Stock","Total Printed Stock","Total Barcodes Count","Safety Category","Action Recommended"
"0008","BHAGWAN HANDLOOM HOUSE","00001489, 00001490","INV/25-26/5472","",TRUE,2,1,0,0,0,0,2,2,2,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001","JAMNADAS BECHARDAS & SONS","00008570","1016/26-27","INV2627000945",TRUE,4,1,0,1,1,0,3,4,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001-6207","STRAAVI ENSEMBLES PRIVATE LIMITED","00002191","SE/005389/25-26","",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001-7219","STRAAVI ENSEMBLES PRIVATE LIMITED","00002248","SE/005372/25-26","INV2627000628",TRUE,1,1,0,1,1,0,0,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001-7453","STRAAVI ENSEMBLES PRIVATE LIMITED","00002249","SE/005372/25-26","",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001-GOLDEN","VARIMA FASHIONS PVT LTD","00009319","VFPL0075","",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"001-GREEN","VARIMA FASHIONS PVT LTD","00009320","VFPL0075","",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"002","JAMNADAS BECHARDAS & SONS","00008571","1016/26-27","INV2627000655",TRUE,4,1,0,1,1,0,3,4,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"002-4775","STRAAVI ENSEMBLES PRIVATE LIMITED","00002146","SE/005431/25-26","",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
"003-6007","STRAAVI ENSEMBLES PRIVATE LIMITED","00000906","SE/005371/25-26","",TRUE,1,1,0,0,0,0,1,1,1,ACTIVE_WITH_PURCHASE_HISTORY,"Keep: Has active purchase/return activity"
