"Design Number","Vendor Name","Barcodes List","Purchase Invoices List","Sales Invoices List","Exists in Master","Purchase Quantity","Purchase Invoices Count","Purchase Return Quantity","Sales Quantity","Sales Invoices Count","Sales Return Quantity","Available Stock","Total Printed Stock","Total Barcodes Count","Safety Category","Action Recommended"
"005-6914","STRAAVI ENSEMBLES PRIVATE LIMITED","00000907","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"035-7050 01","STRAAVI ENSEMBLES PRIVATE LIMITED","00000844","","INV2026000003",TRUE,0,0,0,1,1,0,0,1,1,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"1-BROWN","CHIC BY GAURI","00007544, 00007547","","INV2627000620, INV2627000701, INV2627000774",TRUE,0,0,0,3,3,0,2,4,2,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"1/2-BS","KUTCH BANDHEJ-NX","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"100","MYST DESIGNS","00003166, 00003167, 00003168, 00003169","","",TRUE,0,0,0,0,0,0,4,4,4,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"1075","MAHARAJA CLOTHING COMPANY","00006979, 00006980, 00006981, 00006982, 00006983","","",TRUE,0,0,0,0,0,0,5,5,5,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"110-03","MYST DESIGNS","00003216, 00003217, 00003218, 00003219, 00003220","","INV2026000370, INV2627000365",TRUE,0,0,0,2,2,0,3,5,5,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"112D-45 ","AASHIRVAD HERITAGE PVT LTD","00001068","","",TRUE,0,0,0,0,0,0,3,3,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"1144-BLUE","H&H","00007604, 00007605, 00007606, 00007607","","",TRUE,0,0,0,0,0,0,4,4,4,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"1144-WINE","H&H","00007608, 00007609, 00007610, 00007611","","",TRUE,0,0,0,0,0,0,4,4,4,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"1152 DARKNAT-B","H&H","00006561","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"1861 GN","SHAASHVAT DESIGN STUDIO","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"1861 PK","SHAASHVAT DESIGN STUDIO","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"1879","MOI CREATION","00001404, 00001405, 00001406, 00001407, 00001408","","INV2026000365, INV2627000402",TRUE,0,0,0,2,2,0,3,5,5,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"2-BROWN","CHIC BY GAURI","00007550, 00007553","","INV2627000787",TRUE,0,0,0,2,1,0,1,2,2,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"2/1 -BS","KUTCH BANDHEJ-NX","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
