Vendor Name,Invoice Number,Design Number,PO Quantity (Billed),Printed Quantity (Physical),Difference (Surplus/Shortage)
"AARI","239","6905",3,0,-3
"AARI","5462/25-26","25441 1",11,8,-3
"AARI","6050/25-26","25434",8,6,-2
"AARI","239","9003",8,6,-2
"AARI","239","9019",8,6,-2
"AARI","239","25431",8,6,-2
"AARI","239","16472",8,10,+2
"AARI","239","9014",8,6,-2
"AARI","63/26-27","K-0878",8,6,-2
"AARI","63/26-27","6905",4,6,+2
"AARI","63/26-27","6899",8,6,-2
"AARI","63/26-27","2629",8,6,-2
"AARI","63/26-27","25420",8,6,-2
"AARI","5593/25-26","16478",9,7,-2
"AARI","5593/25-26","16479",11,9,-2
"AARI","458","9011-A",8,6,-2
"AARI","5656/25-26","16476",8,6,-2
"AARI","5462/25-26","25429 1",11,9,-2
"AARI","5462/25-26","6898 1",10,8,-2
"AARI","5462/25-26","9009 1",10,8,-2
"AARI","5656/25-26","6903 NB",8,6,-2
"AARI","5656/25-26","6906",6,4,-2
"AARI","63/26-27","K-1026",8,6,-2
"AARI","6050/25-26","6899",8,6,-2
"AARI","5593/25-26","6894",8,6,-2
"AARI","239","9013",8,6,-2
"AARI","5656/25-26","9001",7,6,-1
"AARI","5878/25-26","6890-2",3,2,-1
"AARI","5878/25-26","25435",8,7,-1
"AARI","5878/25-26","0897",8,7,-1
"AARI","6216/25-26","K-1025-A",7,6,-1
"AARI","239","6905-B",1,0,-1
"AARI","6050/25-26","6891",8,7,-1
"AARI","6050/25-26","K-1007",8,7,-1
"AARI","5656/25-26","6903",8,7,-1
"AARI","63/26-27","6905-B",1,2,+1
"AASHIRVAD HERITAGE PVT LTD","ED/002853/25-26","DCP1",14,6,-8
"AASHIRVAD HERITAGE PVT LTD","AH/008527/25-26","112D-45 ",0,3,+3
"AASHIRVAD HERITAGE PVT LTD","AH/008527/25-26","335-2038",4,6,+2
"AASHIRVAD HERITAGE PVT LTD","AH/008528/25-26","FF/335/2036",5,4,-1
"AASHIRVAD HERITAGE PVT LTD","AH/008527/25-26","112D-45",6,5,-1
"AGASTYAS (F.Y.-25-26)","GST/25-26/1782","LH 5266",0,1,+1
"AHUJA TEXTILES","AT04709/25-26","US0673",5,4,-1
"ANAAYA CREATIONS","283/25-26","225K",1,2,+1
"ANAAYA CREATIONS","283/25-26","225",2,3,+1
"ANANTA EXPORTS","A01213","ORT-211",4,11,+7
"BHAGWAN HANDLOOM HOUSE","INV/25-26/5471","D14263",2,1,-1
"BHAGWAN HANDLOOM HOUSE","INV/25-26/5471","D13953",3,2,-1
"BHAGWAN HANDLOOM HOUSE","25-26/5473","1091D-14017",1,2,+1
"BHAGWAN HANDLOOM HOUSE","INV/25-26/5472","10836",3,2,-1
"BHAGWAN HANDLOOM HOUSE","INV/25-26/5472","11928",4,3,-1
"BHAGWAN HANDLOOM HOUSE","INV/25-26/5472","12992",3,2,-1
"BOOM JNS PVT LTD","SB8097/25-26","85724",5,33,+28
"BOOM JNS PVT LTD","SB8097/25-26","87115",5,31,+26
"BOOM JNS PVT LTD","SB8097/25-26","24058-02",10,35,+25
"BOOM JNS PVT LTD","SB8097/25-26","87491",5,18,+13
"BOOM JNS PVT LTD","SB-0205","86952",0,5,+5
"BOOM JNS PVT LTD","SB8097/25-26","85965",5,10,+5
"BOOM JNS PVT LTD","SB8097/25-26","85801",5,10,+5
"BOOM JNS PVT LTD","SB8097/25-26","84664 -05",3,8,+5
"BOOM JNS PVT LTD","SB-0205","86941",0,5,+5
"BOOM JNS PVT LTD","SB0667/26-27","87493",0,4,+4
"BOOM JNS PVT LTD","SB-8729/25-26","87492-A",8,5,-3
"BOOM JNS PVT LTD","SB-8729/25-26","24058-A",8,6,-2
"BOOM JNS PVT LTD","SB8423/25-26","24058-5",8,6,-2
"BOOM JNS PVT LTD","SB8423/25-26","24058",8,6,-2
"BOOM JNS PVT LTD","SB8423/25-26","24058-3",8,7,-1
"BOOM JNS PVT LTD","SB8097/25-26","24058",10,9,-1
"BOOM JNS PVT LTD","SB8097/25-26","84664-05",1,2,+1
"BOOM JNS PVT LTD","SB0667/26-27","87493-B",0,1,+1
"CHIC BY GAURI","10/2026-27","1-BROWN",0,4,+4
"CHIC BY GAURI","10/2026-27","1-BROWN-01",6,2,-4
"CHIC BY GAURI","10/2026-27","2-BROWN",0,2,+2
"CHIC BY GAURI","10/2026-27","2-BROWN-01",3,1,-2
"CHIC BY GAURI","24/202-27","135-02",2,1,-1
"CHIC BY GAURI","24/202-27","135",2,1,-1
"DEV DARSHAN DESIGNS PVT LTD","DDD/07542/25-26","AKR-4284 ",0,2,+2
"DEV DARSHAN DESIGNS PVT LTD","DDD/07545/25-26","BR 1765",0,1,+1
"DEV DARSHAN DESIGNS PVT LTD","DDD/07542/25-26","AKR-4284",3,2,-1
"DEV DARSHAN DESIGNS PVT LTD","DDD/07545/25-26","BR1772",0,1,+1
"DIYA CREATION","DC/25-26/5839","DC-251009",1,2,+1
"ESSENCE COLLECTION PVT LTD","000698","KS-602 WH",5,9,+4
"ESSENCE COLLECTION PVT LTD","000698","KS-602 BR",5,9,+4
"ESSENCE COLLECTION PVT LTD","000698","KS-611 YL",5,9,+4
"ESSENCE COLLECTION PVT LTD","000698","KW-2511-PL P",5,7,+2
"ESSENCE COLLECTION PVT LTD","000698","KW-639 G",5,7,+2
"ESSENCE COLLECTION PVT LTD","000698","KS-631 PK",5,7,+2
"ESSENCE COLLECTION PVT LTD","000698","KS-631 YL",5,7,+2
"ESSENCE COLLECTION PVT LTD","000698","DS-601 YL",2,3,+1
"ESSENCE COLLECTION PVT LTD","00077","KT-18-A-B",0,1,+1
"ESSENCE COLLECTION PVT LTD","00077","EMB-108",0,1,+1
"ESSENCE COLLECTION PVT LTD","00077","KT-18-A",0,1,+1
"G & D FASHIONS ","GFD/25-26/0144","823",8,10,+2
"GFIVE DESIGNERS COUTURE PVT.LTD.","GFIVE/2178/25-26","4030",2,1,-1
"GUNJAN BINANI","2141","D-799",2,4,+2
"H&H","12","1144-BLUE",0,4,+4
"H&H","12","1144-WINE",0,4,+4
"H&H","197","1152 DARKNAT-B",0,1,+1
"HANDLOOM EMPORIUM TEXT.PRT.LTD","HETPL/2120","D 1",12,4,-8
"HANDLOOM EMPORIUM TEXT.PRT.LTD","HETPL/2116","COT FEB",12,6,-6
"HANDLOOM EMPORIUM TEXT.PRT.LTD","HETPL/2116","COT FEB 2",13,7,-6
"HANDLOOM EMPORIUM TEXT.PRT.LTD","HETPL/2233","1/7",7,3,-4
"HANDLOOM EMPORIUM TEXT.PRT.LTD","HETPL/2120","D 13",9,5,-4
"HANDLOOM EMPORIUM TEXT.PRT.LTD","HETPL/2233","3/4",4,2,-2
"HANDLOOM EMPORIUM TEXT.PRT.LTD","HETPL/2120","D 10",2,1,-1
